t,Equal,Proportional,InstantLoad
342,0.24088213412595572,0.24088213412595572,0.2408821341259555
343,0.27091249593978195,0.27091249593978195,0.27091249593978195
344,0.3575679154448762,0.3575679154448761,0.3575679154448762
345,0.31567181442255965,0.31567181442255954,0.31567181442255965
346,0.5208152451452095,0.5208152451452094,0.5208152451452095
347,0.44019369133611896,0.44019369133611896,0.44019369133611896
348,0.11540099812026106,0.11540099812026106,0.11540099812026106
349,0.03056806974086168,0.030568069740861792,0.03056806974086168
350,0.013190510179534931,0.013190510179534931,0.013190510179534931
351,0.22731466387675858,0.22731466387675864,0.22731466387675864
352,0.24702388141472698,0.24702388141472698,0.24702388141472698
353,0.7708040357647155,0.7708040357647155,0.7708040357647155
354,0.6970461141112707,0.6970461141112707,0.6970461141112707
355,0.7521174399441376,0.7521174399441376,0.7521174399441376
356,1.1079956998259268,1.1079956998259268,1.1079956998259268
357,0.7524516897523502,0.7524516897523502,0.7524516897523502
358,0.5196288950571425,0.5196288950571425,0.5196288950571425
359,0.6417446520276908,0.6417446520276908,0.6417446520276908
360,0.7999719147006816,0.7999719147006816,0.7999719147006816
361,0.8824865966083917,0.8824865966083917,0.8824865966083917
362,0.7153599774531579,0.7153599774531579,0.7153599774531579
363,0.673718203579493,0.673718203579493,0.673718203579493
364,0.6915037933244252,0.6915037933244252,0.6915037933244252
365,0.6821851393482652,0.6821851393482652,0.6821851393482652
366,0.9908012274534924,0.9908012274534924,0.9908012274534924
367,0.8959231828447375,0.8959231828447375,0.8959231828447375
368,0.5838727331102986,0.5838727331102986,0.5838727331102986
369,0.5141827334074012,0.5141827334074012,0.5141827334074012
370,0.42937019690829004,0.42937019690829004,0.42937019690829004
371,0.43828904064784746,0.43828904064784746,0.43828904064784746
372,0.33689042230735816,0.33689042230735816,0.33689042230735816
373,0.2461950078661202,0.2461950078661202,0.2461950078661202
374,0.2498046401513627,0.2498046401513627,0.2498046401513627
375,0.2455297460830915,0.2455297460830915,0.2455297460830915
376,0.3065997826485795,0.3065997826485795,0.3065997826485795
377,0.2962969803977097,0.2962969803977097,0.2962969803977097
378,0.2914452312014651,0.2914452312014651,0.2914452312014651
379,0.3080219787036106,0.3080219787036106,0.3080219787036106
380,0.23494948352442488,0.23494948352442488,0.23494948352442488
381,0.2410696556077774,0.2410696556077774,0.2410696556077774
382,0.1902841896389697,0.1902841896389697,0.1902841896389697
383,0.3200994979999279,0.3200994979999279,0.3200994979999279
384,0.339530717750655,0.339530717750655,0.339530717750655
385,0.4363155496416625,0.4363155496416625,0.4363155496416625
386,0.6343284866496197,0.6343284866496197,0.6343284866496197
387,0.8221162793177097,0.8221162793177097,0.8221162793177097
388,0.6895945632012996,0.6895945632012996,0.6895945632012996
389,0.7066941394743846,0.7066941394743846,0.7066941394743846
390,0.6446192801391215,0.6446192801391215,0.6446192801391215
391,0.643235321627809,0.643235321627809,0.643235321627809
392,0.6495939706759489,0.6495939706759489,0.6495939706759489
393,0.6368000431047215,0.6368000431047215,0.6368000431047215
394,0.6078058293507458,0.6078058293507458,0.6078058293507458
395,0.5961190685885658,0.5961190685885658,0.5961190685885658
396,0.6072905606836956,0.6072905606836956,0.6072905606836956
397,0.6291878597959906,0.6291878597959906,0.6291878597959906
398,0.5965671965074058,0.5965671965074058,0.5965671965074058
399,0.5945066360572308,0.5945066360572308,0.5945066360572308
400,0.589861426368629,0.589861426368629,0.589861426368629
401,0.5896153892999515,0.5896153892999515,0.5896153892999515
402,0.6475271101392029,0.6475271101392029,0.6475271101392029
403,0.635686576209098,0.635686576209098,0.635686576209098
404,0.637278925657147,0.637278925657147,0.637278925657147
405,0.6394932592752446,0.6394932592752446,0.6394932592752446
406,0.6499416831783661,0.6499416831783661,0.6499416831783661
407,0.6597524112918811,0.6597524112918811,0.6597524112918811
408,0.7151875356067717,0.7151875356067717,0.7151875356067717
409,0.7251520368882092,0.7251520368882092,0.7251520368882092
410,0.9791156756531181,0.9791156756531181,0.9791156756531181
411,0.955188570724233,0.955188570724233,0.955188570724233
412,0.659773162980701,0.659773162980701,0.659773162980701
413,0.6419354755015836,0.6419354755015836,0.6419354755015836
414,0.85732331502456,0.85732331502456,0.85732331502456
415,0.8852485223194526,0.8852485223194526,0.8852485223194526
416,0.6423553688214694,0.6423553688214694,0.6423553688214694
417,0.6492444067444368,0.6492444067444368,0.6492444067444368
418,0.6177269088282588,0.6177269088282588,0.6177269088282588
419,0.569870267819561,0.5698702678195608,0.569870267819561
420,0.5316078590912962,0.5316078590912962,0.5316078590912962
421,0.49171155672237843,0.49171155672237843,0.49171155672237843
422,0.4807549057051048,0.4807549057051048,0.4807549057051048
423,0.5124338534896578,0.5124338534896578,0.5124338534896578
424,0.6225893938289084,0.6225893938289084,0.6225893938289084
425,0.6467809714302881,0.6467809714302881,0.6467809714302881
426,0.41567336696532514,0.41567336696532514,0.4156733669653252
427,0.0,0.0,0.0
428,0.0,0.0,0.0
429,0.0,0.0,0.0
430,0.0,0.0,0.0
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,0.0,0.0
435,0.0,0.0,0.0
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,0.0,0.0,0.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.07494525942184127,0.07494525942184138,0.07494525942184127
443,0.09902923874650893,0.09902923874650904,0.09902923874650893
444,0.09333065266968044,0.09333065266968021,0.09333065266968021
445,0.039831919492888446,0.039831919492888446,0.039831919492888335
446,0.15312406523301791,0.15312406523301791,0.15312406523301791
447,0.27550614183172667,0.27550614183172667,0.2755061418317266
448,0.318220431232346,0.318220431232346,0.31822043123234595
449,0.3776449208121425,0.3776449208121425,0.3776449208121425
450,0.5165146027364458,0.5165146027364457,0.5165146027364458
451,0.6937518808926619,0.6937518808926619,0.6937518808926619
452,0.4459159583140705,0.4459159583140705,0.4459159583140705
453,0.503344832977186,0.503344832977186,0.503344832977186
454,0.7446646669262748,0.7446646669262748,0.7446646669262748
455,0.7848545214089443,0.7848545214089443,0.7848545214089443
456,0.8066444800892386,0.8066444800892386,0.8066444800892386
457,0.8231552769424945,0.8231552769424945,0.8231552769424945
458,0.6620302599937516,0.6620302599937516,0.6620302599937516
459,0.6568327269179391,0.6568327269179391,0.6568327269179391
460,0.8511631050238986,0.8511631050238986,0.8511631050238986
461,0.680105833025876,0.680105833025876,0.680105833025876
462,0.4823510962354707,0.4823510962354707,0.4823510962354707
463,0.4875486293112832,0.4875486293112832,0.4875486293112832
464,0.4232004471253804,0.4232004471253804,0.4232004471253804
465,0.9580235251630654,0.9580235251630654,0.9580235251630654
466,1.1214302219211296,1.1214302219211296,1.1214302219211296
467,0.6486392398237567,0.6486392398237567,0.6486392398237567
468,0.49438148067310883,0.49438148067310883,0.49438148067310883
469,0.5323326985166114,0.5323326985166114,0.5323326985166114
470,0.5159498903489587,0.5159498903489587,0.5159498903489587
471,1.1009645303968487,1.1009645303968487,1.1009645303968487
472,0.76893683761105,0.76893683761105,0.76893683761105
473,0.54467404951152,0.54467404951152,0.54467404951152
474,0.5983736455669856,0.5983736455669856,0.5983736455669856
475,0.49291600700509813,0.49291600700509813,0.49291600700509813
476,0.5956273032262223,0.5956273032262223,0.5956273032262223
477,0.5516789318337072,0.5516789318337072,0.5516789318337072
478,0.5779208629908682,0.5779208629908682,0.5779208629908682
479,0.5835797155704506,0.5835797155704506,0.5835797155704506
480,0.511802617860013,0.511802617860013,0.511802617860013
481,0.4801560999013705,0.4801560999013705,0.4801560999013705
482,0.43140807704679546,0.43140807704679546,0.43140807704679546
483,0.40997209743826796,0.40997209743826796,0.40997209743826796
484,0.3045665566105662,0.3045665566105662,0.3045665566105662
485,0.1727214424330187,0.1727214424330187,0.1727214424330187
486,0.1971275071080829,0.1971275071080829,0.1971275071080829
487,0.20152541971069288,0.20152541971069288,0.20152541971069288
488,0.1528601720301329,0.1528601720301329,0.1528601720301329
489,0.1613484508995061,0.1613484508995061,0.1613484508995061
490,0.1575059731305158,0.1575059731305158,0.1575059731305158
491,0.1571369175274996,0.1571369175274996,0.1571369175274996
492,0.1729454677955627,0.1729454677955627,0.1729454677955627
493,0.1576911695375585,0.1576911695375585,0.1576911695375585
494,0.13644468060604661,0.13644468060604661,0.13644468060604661
495,0.1369367547434016,0.1369367547434016,0.1369367547434016
496,0.1274793706133437,0.1274793706133437,0.1274793706133437
497,0.13719783482610448,0.13719783482610448,0.13719783482610448
498,0.1371771603310386,0.1371771603310386,0.1371771603310386
499,0.1471724162460616,0.1471724162460616,0.1471724162460616
500,0.2207232025658919,0.2207232025658919,0.2207232025658919
501,0.2010094824381084,0.2010094824381084,0.2010094824381084
502,0.16950598890333687,0.16950598890333687,0.16950598890333687
503,0.1655386411709124,0.1655386411709124,0.1655386411709124
504,0.1555063305357304,0.1555063305357304,0.1555063305357304
505,0.1640868733058579,0.1640868733058579,0.1640868733058579
506,0.15433076296115741,0.15433076296115741,0.15433076296115741
507,0.1634648891358092,0.1634648891358092,0.1634648891358092
508,0.15204357992005668,0.15204357992005668,0.15204357992005668
509,0.1466307644091519,0.1466307644091519,0.1466307644091519
510,0.1830103844934247,0.1830103844934247,0.1830103844934247
511,0.1564998903434257,0.1564998903434257,0.1564998903434257
512,0.14384780437250488,0.14384780437250488,0.14384780437250488
513,0.1656835942176319,0.1656835942176319,0.1656835942176319
514,0.11302320267937492,0.1130232026793749,0.1130232026793749
515,0.10045511549900951,0.1004551154990095,0.1004551154990095
516,0.0748602640108216,0.07486026401082159,0.07486026401082159
517,0.05122151385536669,0.05122151385536666,0.05122151385536669
518,0.04044599371684568,0.04044599371684568,0.04044599371684571
519,0.07807935642552691,0.07807935642552691,0.07807935642552688
520,0.1478882945609713,0.1478882945609713,0.1478882945609713
521,0.13204144557834702,0.13204144557834702,0.13204144557834696
522,0.17715087757671016,0.17715087757671016,0.1771508775767101
523,0.10289192488998655,0.10289192488998655,0.1028919248899865
524,0.04189555660728983,0.04189555660728983,0.04189555660728961
525,0.0,0.0,0.0
526,0.18407134213352272,0.18407134213352272,0.18407134213352272
527,0.0,0.0,0.0
528,0.05790680561213457,0.05790680561213479,0.05790680561213479
529,0.42287195647993236,0.4228719564799328,0.4228719564799328
530,0.09663496942153182,0.09663496942153182,0.09663496942153182
531,0.0,0.0,0.0
532,0.0,0.0,0.0
533,0.0,0.0,0.0
534,0.0,0.0,0.0
535,0.0,0.0,0.0
536,0.0,0.0,0.0
537,0.2543452018575699,0.2543452018575699,0.2543452018575698
538,0.3296793155088361,0.329679315508836,0.3296793155088361
539,0.3671210287265585,0.3671210287265585,0.3671210287265585
540,0.27596588556360824,0.27596588556360824,0.27596588556360835
541,0.14682324456159468,0.14682324456159468,0.14682324456159446
