t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,P_share,E,c_grid,c_sell,P_simul_imp_exp
216,1.559,0.0,1.559,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
217,1.3155,0.0,1.3155,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
218,1.3075,0.0,1.3075,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
219,1.287,0.0,1.287,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
220,1.1265,0.0,1.1265,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
221,1.5205,0.0,1.5205,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
222,1.3685,0.0,1.3685,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
223,1.458,0.0,1.458,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
224,1.19,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
225,1.307,0.0,1.307,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
226,2.042,0.0,2.042,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
227,2.1275,0.0054070577632135,2.1220929422367862,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
228,2.3925,0.010199677144243899,2.382300322855756,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
229,2.21,0.0136405320844707,2.196359467915529,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
230,2.56,0.016589836318951,2.543410163681049,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
231,2.3085,0.018801814494811102,2.289698185505189,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
232,2.4385,0.021505343376418,2.416994656623582,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
233,2.2445,0.0231028831700947,2.2213971168299054,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
234,2.484,0.0250690859930814,2.4589309140069187,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
235,2.483,0.027158176492505,2.4558418235074955,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
236,2.619,0.054807903690756596,2.5641920963092435,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
237,2.4445,0.0948692862091126,2.349630713790888,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
238,2.1915,0.1194468214964476,2.0720531785035523,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
239,2.2395,0.1595082040148034,2.079991795985197,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
240,2.7485,0.1833484132435184,2.565151586756482,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
241,2.4875,0.1983407097687926,2.2891592902312072,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
242,2.562,0.21357878164694039,2.3484212183530597,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
243,2.3855,0.1958829562400591,2.1896170437599407,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
244,2.105,0.21640519820498377,1.888594801795016,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
245,2.681,0.24319471166817888,2.437805288331821,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
246,2.28,0.25155107366587237,2.028448926334128,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
247,2.489,0.24012251975726212,2.248877480242738,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
248,2.5055,0.1800304459797281,2.325469554020272,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
249,2.9345,0.1300151616700016,2.8044848383299983,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
